time,phase_a_V,phase_b_V,phase_c_V
0.000000e+00,1.200000e+02,1.200000e+02,1.200000e+02
4.081633e-04,1.335724e+02,7.028960e+01,1.061380e+02
8.163265e-04,1.461789e+02,2.423278e+01,9.158325e+01
1.224490e-03,1.570796e+02,1.200000e+01,7.612040e+01
1.632653e-03,1.655516e+02,2.571453e+01,5.983318e+01
2.040816e-03,1.709150e+02,5.091497e+01,4.397353e+01
2.448980e-03,1.728000e+02,8.160000e+01,3.040000e+01
2.857143e-03,1.709150e+02,1.138850e+02,1.929649e+01
3.265306e-03,1.655516e+02,1.442855e+02,1.164840e+01
3.673469e-03,1.570796e+02,1.664902e+02,7.210205e+00
4.081633e-03,1.461789e+02,1.775672e+02,6.253883e+00
4.489796e-03,1.335724e+02,1.757104e+02,9.171567e+00
4.897959e-03,1.200000e+02,1.607850e+02,1.521503e+01
5.306122e-03,1.064276e+02,1.341904e+02,2.391597e+01
5.714286e-03,9.382108e+01,1.072815e+02,3.389137e+01
6.122449e-03,8.292041e+01,8.307390e+01,4.400568e+01
6.530612e-03,7.448437e+01,6.474432e+01,5.277119e+01
6.938776e-03,7.000000e+01,5.400000e+01,5.900000e+01
7.346939e-03,7.000000e+01,5.372881e+01,6.427119e+01
7.755102e-03,7.448437e+01,6.325567e+01,7.522881e+01
8.163265e-03,8.292041e+01,8.192610e+01,8.715432e+01
8.571429e-03,9.382108e+01,1.058185e+02,9.796591e+01
8.979592e-03,1.064276e+02,1.338096e+02,1.068840e+02
9.387755e-03,1.200000e+02,1.592150e+02,1.121503e+02
9.795918e-03,1.335724e+02,1.742896e+02,1.121718e+02
1.020408e-02,1.461789e+02,1.775672e+02,1.062539e+02
1.061224e-02,1.570796e+02,1.677902e+02,9.512051e+02
1.102041e-02,1.655516e+02,1.454286e+02,8.264168e+01
1.142857e-02,1.709150e+02,1.225940e+02,1.150265e+01
1.183673e-02,1.728000e+02,9.840000e+01,2.200000e+01
1.224490e-02,1.709150e+02,7.611503e+01,5.072647e+01
1.265306e-02,1.655516e+02,5.571448e+01,8.103318e+01
1.306122e-02,1.570796e+02,4.350976e+01,1.021204e+02
1.346939e-02,1.461789e+02,2.423278e+01,1.155832e+02
1.387755e-02,1.335724e+02,1.700000e+01,1.214276e+02
1.428571e-02,1.200000e+02,1.200000e+02,1.200000e+02
1.469388e-02,1.064276e+02,2.328960e+02,1.182620e+02
1.510204e-02,9.382108e+01,2.157672e+02,1.123168e+02
1.551020e-02,8.292041e+01,2.279790e+02,1.088796e+02
1.591837e-02,7.448437e+01,1.754286e+02,1.100532e+02
1.632653e-02,7.000000e+01,1.468850e+02,1.131150e+02
1.673469e-02,7.000000e+01,1.138850e+02,1.261150e+02
1.714286e-02,7.448437e+01,8.574432e+01,1.394557e+02
1.755102e-02,8.292041e+01,5.692610e+01,1.538539e+02
1.795918e-02,9.382108e+01,3.418047e+01,1.676184e+02
1.836735e-02,1.064276e+02,2.371040e+01,1.798624e+02
1.877551e-02,1.200000e+02,2.921503e+01,1.907685e+02
1.918367e-02,1.335724e+02,5.128958e+01,2.034862e+02
1.959184e-02,1.461789e+02,8.423278e+01,2.015832e+02
2.000000e-02,1.570796e+02,1.200000e+02,1.829204e+02
